yaw,pitch,distance,label
-0.2059090143536768,-0.3077428345518644,0.2325397133827209,0
-0.2401535690610934,-0.2758647635091508,0.225852757692337,0
-0.2242129392677781,-0.2622535100832517,0.2306490838527679,0
-0.3175728314210351,-0.1801175674608403,0.2271913290023803,0
-0.4478333485465692,-0.0764045703388983,0.219156265258789,0
-0.4630199548853335,-0.0074573496571894,0.2177779376506805,0
-0.4866694216361031,0.0099687217925972,0.2208614647388458,0
-0.4481507114973415,0.0402101111971614,0.223392903804779,0
-0.3810198859050305,0.11719861362003,0.2250202894210815,0
-0.3316939563607571,0.2139904071555383,0.2267981767654419,0
-0.2935311463075747,0.3026849668180381,0.2302669584751129,0
-0.2727413601850564,0.3170904209937182,0.2383484244346618,0
-0.2675773818060296,0.3229316057585768,0.2384829521179199,0
-0.0387704022717894,0.2986258329126803,0.2476389706134796,0
0.0848317037898109,0.2935089425660951,0.2402986288070678,0
0.3234423106324204,-0.3526566996924576,0.1668622493743896,0
0.7792047930430415,-0.2250285892333076,0.130672812461853,0
2.036225677234314,-0.2076990296692106,0.0698925852775573,0
3.133155052324744,-0.1393257035176313,0.0522386729717254,0
3.133155052324744,-0.1393257035176313,0.0522386729717254,0
2.072118090159857,-0.0066255620367577,0.0741953551769256,0
1.7572651078744053,0.0971343685275937,0.0877905786037445,0
1.4450098845526578,0.1695555811698021,0.0981049239635467,0
1.017269529756072,0.2667678913160611,0.1103990674018859,0
1.0269231939006636,0.3107850978793927,0.1028540134429931,0
1.0322778658971683,0.3587029730452366,0.074706345796585,0
0.763373740998804,0.3947735189864668,0.1328130662441253,0
0.3775486817539063,0.4741251970532077,0.1848446130752563,0
0.2591592582565978,0.4660764852980356,0.2032474875450134,0
0.1641059046397611,0.4426909134763771,0.2144450545310974,0
0.0885978578871538,0.4121043007435194,0.2154453992843628,0
-0.0603236024736961,0.3993088945794047,0.2181424796581268,0
-0.2246957736682704,0.3832275205932737,0.2131597101688385,0
-0.3759234594364626,0.3829265252613929,0.2025787234306335,0
-0.4259003315855993,0.3692362587690098,0.1917332708835601,0
-0.474303365390229,0.323641665153843,0.1826366782188415,0
-0.4960137879306089,0.2271876890268316,0.1832427084445953,0
-0.0008692549057392,0.0442680977506216,0.2049027383327484,1
-0.0066847287206031,0.0451564696651933,0.2117534279823303,1
-0.0061457673624575,0.037327958389224,0.2095784544944763,1
-0.0121760027335815,0.0463072156631549,0.2095110416412353,1
